State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama, 124 , 133 , 128 , 100 , 108 , 107 , 75 , 92 , 75 , 84 , 78 , 75 , 70 , 100 , 83 , 89 
Alaska, 28 , 42 , 29 , 45 , 30 , 33 , 17 , 39 , 39 , 31 , 32 , 30 , 14 , 35 , 33 , 32 
Arizona, 80 , 84 , 99 , 112 , 97 , 100 , 76 , 77 , 69 , 60 , 95 , 88 , 69 , 77 , 90 , 82 
Arkansas, 87 , 70 , 80 , 78 , 89 , 85 , 75 , 88 , 93 , 63 , 63 , 67 , 74 , 68 , 76 , 76 
California, 459 , 467 , 465 , 537 , 461 , 465 , 409 , 326 , 390 , 375 , 396 , 344 , 388 , 376 , 376 , 422 
Colorado, 102 , 117 , 125 , 137 , 126 , 105 , 83 , 85 , 92 , 82 , 65 , 84 , 75 , 81 , 77 , 72 
Connecticut, 36 , 54 , 46 , 38 , 38 , 28 , 34 , 49 , 37 , 36 , 29 , 35 , 44 , 28 , 35 , 48 
Delaware, 9 , 10 , 11 , 15 , 10 , 11 , 7 , 8 , 10 , 14 , 11 , 12 , 8 , 12 , 10 , 7 
District of Columbia, 19 , 11 , 12 , 7 , 13 , 9 , 11 , 16 , 9 , 11 , 25 , 11 , 8 , 5 , 13 , 10 
Florida, 347 , 422 , 406 , 360 , 363 , 291 , 245 , 225 , 226 , 218 , 239 , 228 , 272 , 309 , 299 , 332 
Georgia, 199 , 232 , 200 , 201 , 193 , 182 , 110 , 108 , 111 , 101 , 117 , 152 , 180 , 171 , 194 , 186 
Hawaii, 21 , 25 , 15 , 30 , 23 , 19 , 13 , 19 , 26 , 20 , 11 , 31 , 18 , 29 , 20 , 22 
Idaho, 43 , 38 , 35 , 38 , 31 , 36 , 27 , 33 , 37 , 19 , 30 , 34 , 36 , 30 , 37 , 45 
Illinois, 200 , 208 , 194 , 207 , 185 , 193 , 158 , 206 , 177 , 146 , 176 , 164 , 172 , 171 , 163 , 184 
Indiana, 132 , 153 , 157 , 148 , 127 , 143 , 125 , 118 , 125 , 115 , 127 , 130 , 115 , 137 , 138 , 173 
Iowa, 76 , 82 , 90 , 71 , 89 , 93 , 80 , 77 , 93 , 97 , 72 , 91 , 60 , 76 , 72 , 77 
Kansas, 78 , 80 , 81 , 85 , 101 , 73 , 76 , 85 , 78 , 76 , 55 , 73 , 60 , 74 , 72 , 61 
Kentucky, 145 , 143 , 122 , 147 , 112 , 106 , 101 , 69 , 93 , 91 , 86 , 82 , 99 , 92 , 70 , 83 
Louisiana, 95 , 121 , 111 , 118 , 139 , 135 , 140 , 111 , 111 , 116 , 114 , 120 , 112 , 95 , 117 , 98 
Maine, 23 , 16 , 15 , 20 , 21 , 24 , 16 , 20 , 26 , 19 , 19 , 19 , 15 , 18 , 18 , 17 
Maryland, 92 , 81 , 95 , 106 , 82 , 60 , 65 , 71 , 71 , 72 , 79 , 74 , 69 , 92 , 87 , 97 
Massachusetts, 78 , 72 , 75 , 66 , 75 , 68 , 64 , 54 , 68 , 44 , 57 , 55 , 69 , 109 , 108 , 97 
